station_name,region,operator,tlc,entries_exits_total,entries_exits_full,entries_exits_reduced,entries_exits_season,interchanges,rank
St Michaels,North West,Merseyrail,STM,1015344,337858,478628,198858,0,529
Rowley Regis,West Midlands,West Midlands Trains (West Midlands Railway),ROW,1014812,326710,387946,300156,0,530
St Margarets (London),London,South Western Railway,SMG,1014718,413684,467200,133834,0,531
Anniesland,Scotland,ScotRail,ANL,1013182,339812,542678,130692,0,532
Chislehurst,London,Southeastern,CIT,1012880,423130,492514,97236,0,533
Colchester Town,East of England,Greater Anglia,CET,1012034,200574,516962,294498,0,534
Sandwell and Dudley,West Midlands,West Midlands Trains (West Midlands Railway),SAD,1005688,239044,574660,191984,0,535
St Leonards Warrior Square,South East,Southeastern,SLQ,1001396,204830,613620,182946,156493,536
Scarborough,Yorkshire and The Humber,TransPennine Express,SCA,1001114,109282,863586,28246,0,537
Kensal Green,London,London Underground,KNL,999796,274846,613634,111316,0,538
Exmouth,South West,Great Western Railway,EXM,999764,277610,635616,86538,0,539
Rickmansworth,East of England,London Underground,RIC,998182,397950,563924,36308,0,540
Walthamstow Queen's Road,London,London Overground,WMW,997432,299300,497592,200540,0,541
Nunhead,London,Govia Thameslink Railway (Thameslink),NHD,997310,386258,451438,159614,0,542
Bournville,West Midlands,West Midlands Trains (West Midlands Railway),BRV,996134,283460,421322,291352,0,543
Turkey Street,London,London Overground,TUR,990634,346280,588054,56300,0,544
Brockenhurst,South East,South Western Railway,BCU,986394,254470,531440,200484,230305,545
Wellingborough,East Midlands,East Midlands Railway,WEL,980522,143860,631480,205182,4805,546
Lancing,South East,Govia Thameslink Railway (Southern),LAC,979620,278026,504430,197164,0,547
Aintree,North West,Merseyrail,AIN,977074,200414,552112,224548,0,548
Brentford,London,South Western Railway,BFD,976928,357814,418788,200326,0,549
Orrell Park,North West,Merseyrail,OPK,976174,304708,452534,218932,0,550
Stowmarket,East of England,Greater Anglia,SMK,975908,269052,541524,165332,81458,551
Ewell West,South East,South Western Railway,EWW,970948,396112,463608,111228,0,552
Folkestone West,South East,Southeastern,FKW,970078,161422,594878,213778,0,553
Digby and Sowton,South West,Great Western Railway,DIG,968412,308972,58604,600836,0,554
Poole,South West,South Western Railway,POO,965090,244412,658814,61864,6630,555
Old Roan,North West,Merseyrail,ORN,963306,153108,675400,134798,0,556
Wandsworth Common,London,Govia Thameslink Railway (Southern),WSW,961536,359476,434576,167484,0,557
Isleworth,London,South Western Railway,ISL,956838,331248,382886,242704,0,558
Barnehurst,London,Southeastern,BNH,955890,358690,439920,157280,0,559
Inverkeithing,Scotland,ScotRail,INK,953162,353688,545596,53878,44854,560
Anerley,London,London Overground,ANZ,948840,328050,531118,89672,0,561
Hampton (London),London,South Western Railway,HMP,948726,399282,435046,114398,0,562
Dewsbury,Yorkshire and The Humber,TransPennine Express,DEW,947090,322946,445322,178822,0,563
Ascot (Berks),South East,South Western Railway,ACT,947036,304000,559816,83220,292322,564
Birkenhead North,North West,Merseyrail,BKN,944022,551862,278846,113314,91287,565
Market Harborough,East Midlands,East Midlands Railway,MHR,943468,127926,643884,171658,0,566
Hayes (Kent),London,Southeastern,HYS,940160,378254,458882,103024,0,567
Woodgrange Park,London,London Overground,WGR,938768,245298,455260,238210,0,568
Bathgate,Scotland,ScotRail,BHG,938148,392668,465452,80028,0,569
Kings Norton,West Midlands,West Midlands Trains (West Midlands Railway),KNN,933856,308772,361076,264008,5861,570
Cathays,Wales,TfW Rail,CYS,933746,698808,101180,133758,0,571
Cheam,London,Govia Thameslink Railway (Southern),CHE,932574,388722,418506,125346,0,572
Westcombe Park,London,Southeastern,WCB,931670,361744,445308,124618,0,573
Kirkdale,North West,Merseyrail,KKD,930362,290752,448154,191456,119835,574
Bury St Edmunds,East of England,Greater Anglia,BSE,929244,308488,519444,101312,1198,575
Elmstead Woods,London,Southeastern,ESD,927220,376828,398986,151406,0,576
Oakleigh Park,London,Govia Thameslink Railway (Great Northern),OKL,924194,424478,400570,99146,0,577
Plumstead,London,Southeastern,PLU,923038,284004,442552,196482,0,578
New Southgate,London,Govia Thameslink Railway (Great Northern),NSG,920392,398916,399584,121892,0,579
Bebington,North West,Merseyrail,BEB,917836,357620,448368,111848,0,580
Burton-On-Trent,West Midlands,East Midlands Railway,BUT,913000,223466,648040,41494,8132,581
Hackbridge,London,Govia Thameslink Railway (Southern),HCB,911110,336084,392422,182604,0,582
Redditch,West Midlands,West Midlands Trains (West Midlands Railway),RDC,910428,311704,416274,182450,0,583
Hebden Bridge,Yorkshire and The Humber,Northern Trains,HBD,907830,259458,555922,92450,35136,584
Trowbridge,South West,Great Western Railway,TRO,904324,366072,428160,110092,36224,585
Crouch Hill,London,London Overground,CRH,901274,257266,483892,160116,0,586
Aylesbury,South East,Chiltern Railways,AYS,900484,359114,331976,209394,6334,587
West Malling,South East,Southeastern,WMA,896670,230026,470710,195934,0,588
Cosham,South East,South Western Railway,CSA,895766,287822,509292,98652,0,589
Biggleswade,East of England,Govia Thameslink Railway (Great Northern),BIW,894928,311314,434286,149328,0,590
Ainsdale,North West,Merseyrail,ANS,892242,170358,597096,124788,0,591
Longbridge,West Midlands,West Midlands Trains (West Midlands Railway),LOB,891698,278030,361388,252280,0,592
Horsforth,Yorkshire and The Humber,Northern Trains,HRS,889978,360482,379520,149976,3995,593
Haddenham and Thame Parkway,South East,Chiltern Railways,HDM,888752,373884,326232,188636,0,594
Lichfield Trent Valley,West Midlands,West Midlands Trains (West Midlands Railway),LTV,887958,134648,479970,273340,83390,595
Bootle New Strand,North West,Merseyrail,BNW,885026,197704,534666,152656,0,596
Wembley Stadium,London,Chiltern Railways,WCX,884860,200710,639796,44354,0,597
Ponders End,London,Greater Anglia,PON,884028,307144,483224,93660,0,598
Ashford (Surrey),South East,South Western Railway,AFS,882266,243976,455434,182856,0,599
Lea Bridge,London,Greater Anglia,LEB,877314,304782,437248,135284,0,600
Esher,South East,South Western Railway,ESH,877074,298516,373182,205376,0,601
Whitstable,South East,Southeastern,WHI,876818,143136,521354,212328,0,602
Brookwood,South East,South Western Railway,BKO,874760,352812,360056,161892,54611,603
Barnes Bridge,London,South Western Railway,BNI,872264,320532,410574,141158,0,604
Rutherglen,Scotland,ScotRail,RUT,871338,280058,471736,119544,0,605
London Road (Guildford),South East,South Western Railway,LRD,868894,269582,478340,120972,0,606
Syon Lane,London,South Western Railway,SYL,868730,443592,279256,145882,0,607
West Dulwich,London,Southeastern,WDU,864428,332682,411776,119970,0,608
Hampden Park (Sussex),South East,Govia Thameslink Railway (Southern),HMD,861166,193310,407686,260170,185554,609
Cricklewood,London,Govia Thameslink Railway (Thameslink),CRI,859464,264894,455438,139132,0,610
Greenhithe for Bluewater,South East,Southeastern,GNH,856592,317864,287604,251124,0,611
Kirkcaldy,Scotland,ScotRail,KDY,856236,286618,519446,50172,19552,612
Perth,Scotland,ScotRail,PTH,853236,250700,568924,33612,110940,613
Kings Lynn,East of England,Govia Thameslink Railway (Great Northern),KLN,853200,214344,572010,66846,410,614
Seaforth and Litherland,North West,Merseyrail,SFL,852056,189136,529186,133734,0,615
St Ives (Cornwall),South West,Great Western Railway,SIV,850992,11890,836694,2408,0,616
Upper Warlingham,South East,Govia Thameslink Railway (Southern),UWL,850836,358814,347124,144898,0,617
Hounslow,London,South Western Railway,HOU,850306,292876,409636,147794,1382,618
Brunswick,North West,Merseyrail,BRW,847394,300876,371524,174994,0,619
Sanderstead,London,Govia Thameslink Railway (Southern),SNR,844182,334090,381876,128216,0,620
Angmering,South East,Govia Thameslink Railway (Southern),ANG,843312,191328,454642,197342,0,621
St Johns (London),London,Southeastern,SAJ,842382,283250,337652,221480,0,622
High Street (Glasgow),Scotland,ScotRail,HST,841292,293918,451748,95626,0,623
Stratford-Upon-Avon,West Midlands,West Midlands Trains (West Midlands Railway),SAV,840832,148462,429608,262762,112,624
Stalybridge,North West,TransPennine Express,SYB,840136,288258,399896,151982,54442,625
Neath,Wales,TfW Rail,NTH,838778,427092,353202,58484,0,626
Clacton-on-Sea,East of England,Greater Anglia,CLT,836512,166824,474916,194772,0,627
Henley-On-Thames,South East,Great Western Railway,HOT,835354,275166,416096,144092,0,628
Dorking (Main),South East,Govia Thameslink Railway (Southern),DKG,834808,227600,480456,126752,49192,629
Herne Bay,South East,Southeastern,HNB,834602,151874,358434,324294,0,630
Cambuslang,Scotland,ScotRail,CBL,831150,292812,425710,112628,54701,631
Dorridge,West Midlands,Chiltern Railways,DDG,824680,178936,422692,223052,0,632
Falconwood,London,Southeastern,FCN,823276,327418,373294,122564,0,633
Bicester North,South East,Chiltern Railways,BCS,822816,204180,493762,124874,4264,634
Motspur Park,London,South Western Railway,MOT,822372,301872,384132,136368,7759,635
Hockley,East of England,Greater Anglia,HOC,818190,308626,266616,242948,0,636
Clifton Down,South West,Great Western Railway,CFN,817690,557198,142670,117822,0,637
Folkestone Central,South East,Southeastern,FKC,817324,136002,501206,180116,601,638
Salford Central,North West,Northern Trains,SFD,814746,222622,453216,138908,0,639
Kent House,London,Southeastern,KTH,814336,326766,368958,118612,0,640
Audley End,East of England,Greater Anglia,AUD,814130,229064,411324,173742,5000,641
Larbert,Scotland,ScotRail,LBT,812100,322316,427144,62640,0,642
Hampton Wick,London,South Western Railway,HMW,810634,303996,429156,77482,0,643
Airdrie,Scotland,ScotRail,ADR,809690,273318,413224,123148,0,644
Stoneleigh,South East,South Western Railway,SNL,807086,331604,383738,91744,0,645
Queenstown Road (Battersea),London,South Western Railway,QRB,806010,258816,430910,116284,0,646
Littlehampton,South East,Govia Thameslink Railway (Southern),LIT,804446,146162,423290,234994,890,647
Brixton,London,Southeastern,BRX,804378,276440,359078,168860,0,648
Tooting,London,Govia Thameslink Railway (Thameslink),TOO,803666,302860,339440,161366,0,649
Bridgeton,Scotland,ScotRail,BDG,802898,281120,411688,110090,0,650
Elmers End,London,Southeastern,ELE,802120,302618,371620,127882,0,651
Northallerton,Yorkshire and The Humber,TransPennine Express,NTR,797766,73078,678964,45724,0,652
Totnes,South West,Great Western Railway,TOT,797324,56480,646942,93902,0,653
Ayr,Scotland,ScotRail,AYR,795560,293648,449788,52124,38459,654
Broadstairs,South East,Southeastern,BSR,794074,129992,518376,145706,0,655
West Wickham,London,Southeastern,WWI,792638,329872,392872,69894,0,656
New Pudsey,Yorkshire and The Humber,Northern Trains,NPD,789024,360176,310050,118798,0,657
Tring,East of England,West Midlands Trains (London Northwestern Railway),TRI,787982,248196,438930,100856,0,658
Carshalton Beeches,London,Govia Thameslink Railway (Southern),CSB,786788,327114,377414,82260,0,659
Lower Sydenham,London,Southeastern,LSY,786602,252098,403610,130894,0,660
Kilwinning,Scotland,ScotRail,KWN,781106,252970,435288,92848,83979,661
Chalfont and Latimer,South East,London Underground,CFO,780010,313816,452536,13658,0,662
Pontypridd,Wales,TfW Rail,PPD,779980,593530,37012,149438,32696,663
Ingatestone,East of England,Greater Anglia,INT,779214,266614,171106,341494,0,664
Catford,London,Govia Thameslink Railway (Thameslink),CTF,777398,318520,285080,173798,187837,665
Lichfield City,West Midlands,West Midlands Trains (West Midlands Railway),LIC,777334,282824,287856,206654,0,666
Albany Park,London,Southeastern,AYP,775024,348426,327736,98862,0,667
Falkirk High,Scotland,ScotRail,FKK,773200,308548,398678,65974,3274,668
Dalmuir,Scotland,ScotRail,DMR,767842,259726,386276,121840,4218,669
Milngavie,Scotland,ScotRail,MLN,762998,261552,435676,65770,0,670
Thames Ditton,South East,South Western Railway,THD,760682,337392,329128,94162,0,671
Teignmouth,South West,Great Western Railway,TGM,760568,154680,474456,131432,0,672
Bishopbriggs,Scotland,ScotRail,BBG,758698,258638,432404,67656,0,673
Kilburn High Road,London,London Overground,KBN,758448,161588,504636,92224,0,674
Burley Park,Yorkshire and The Humber,Northern Trains,BUY,756200,213998,467086,75116,0,675
Cardiff Bay,Wales,TfW Rail,CDB,755714,564988,52330,138396,0,676
Beverley,Yorkshire and The Humber,Northern Trains,BEV,754186,75352,592364,86470,12,677
Weymouth,South West,South Western Railway,WEY,751302,133124,601784,16394,28590,678
Theobalds Grove,East of England,London Overground,TEO,751174,270286,427220,53668,0,679
Saltaire,Yorkshire and The Humber,Northern Trains,SAE,748546,264372,321630,162544,0,680
South Acton,London,London Overground,SAT,747478,288626,366304,92548,0,681
Stanford-Le-Hope,East of England,c2c,SFO,744904,266082,338296,140526,0,682
Merstham,South East,Govia Thameslink Railway (Southern),MHM,744448,280700,322294,141454,0,683
Bellgrove,Scotland,ScotRail,BLG,744374,289222,383268,71884,25024,684
Erith,London,Southeastern,ERH,740404,261608,352336,126460,0,685
Glossop,East Midlands,Northern Trains,GLO,739966,252128,262218,225620,0,686
Bickley,London,Southeastern,BKL,738246,308908,324732,104606,3599,687
Runcorn,North West,Avanti West Coast,RUN,731962,209878,492762,29322,53679,688
Staplehurst,South East,Southeastern,SPU,731008,142660,411936,176412,0,689
North Dulwich,London,Govia Thameslink Railway (Southern),NDL,730666,284818,347060,98788,0,690
Hooton,North West,Merseyrail,HOO,729906,384376,203884,141646,94154,691
Drayton Park,London,Govia Thameslink Railway (Great Northern),DYP,728922,305720,361942,61260,0,692
Queens Park (Glasgow),Scotland,ScotRail,QPK,728778,259894,410910,57974,0,693
Hersham,South East,South Western Railway,HER,722278,259352,276462,186464,0,694
New Beckenham,London,Southeastern,NBC,721184,274586,376314,70284,0,695
Bangor (Gwynedd),Wales,TfW Rail,BNG,720066,168188,512830,39048,610,696
Lenzie,Scotland,ScotRail,LNZ,719886,259086,381488,79312,0,697
Cradley Heath,West Midlands,West Midlands Trains (West Midlands Railway),CRA,719310,185840,313208,220262,0,698
Todmorden,Yorkshire and The Humber,Northern Trains,TOD,718118,203146,393892,121080,0,699
Chorley,North West,Northern Trains,CRL,716034,129788,497146,89100,0,700
Penrith (North Lakes),North West,Avanti West Coast,PNR,715822,0,623306,92516,208586,701
Hartlepool,North East,Northern Trains,HPL,713672,95448,558870,59354,3344,702
Trefforest,Wales,TfW Rail,TRF,712434,606222,33062,73150,0,703
Crossmyloof,Scotland,ScotRail,CMY,710384,298944,346974,64466,0,704
Sunderland,North East,Northern Trains,SUN,709098,151544,499558,57996,5702,705
Berwick-Upon-Tweed,North East,London North Eastern Railway,BWK,707310,0,695168,12142,14439,706
Seaford (Sussex),South East,Govia Thameslink Railway (Southern),SEF,707298,149746,423300,134252,0,707
Chiswick,London,South Western Railway,CHK,707048,253226,337440,116382,0,708
Paignton,South West,Great Western Railway,PGN,707018,93318,530854,82846,24,709
Uddingston,Scotland,ScotRail,UDD,702066,255524,362632,83910,0,710
Bishopton (Renfrewshire),Scotland,ScotRail,BPT,701908,218790,392276,90842,0,711
Diss,East of England,Greater Anglia,DIS,701420,149908,476856,74656,0,712
Four Oaks,West Midlands,West Midlands Trains (West Midlands Railway),FOK,701024,191680,289672,219672,0,713
Crofton Park,London,Govia Thameslink Railway (Thameslink),CFT,699392,305808,312404,81180,0,714
Essex Road,London,Govia Thameslink Railway (Great Northern),EXR,697932,276276,342782,78874,0,715
Smethwick Galton Bridge,West Midlands,West Midlands Trains (West Midlands Railway),SGB,697590,250246,263072,184272,493769,716
Belvedere,London,Southeastern,BVD,696406,231622,350016,114768,0,717
Polmont,Scotland,ScotRail,PMT,696294,277354,354014,64926,0,718
Bromsgrove,West Midlands,West Midlands Trains (West Midlands Railway),BMV,695994,299654,223594,172746,0,719
Hatch End,London,London Overground,HTE,695916,162238,510804,22874,0,720
Selby,Yorkshire and The Humber,TransPennine Express,SBY,695840,92040,542228,61572,29440,721
Huyton,North West,Northern Trains,HUY,694522,206778,351520,136224,23207,722
Sydenham Hill,London,Southeastern,SYH,694346,272078,294646,127622,0,723
Filton Abbey Wood,South West,Great Western Railway,FIT,693586,355688,292246,45652,0,724
Bootle Oriel Road,North West,Merseyrail,BOT,691544,154482,417778,119284,0,725
Arlesey,East of England,Govia Thameslink Railway (Great Northern),ARL,688476,260242,314520,113714,0,726
Strawberry Hill,London,South Western Railway,STW,687594,273416,348920,65258,518,727
Hamilton Central,Scotland,ScotRail,HNC,686520,220440,373302,92778,6116,728
Rock Ferry,North West,Merseyrail,RFY,686206,298836,295244,92126,0,729
Penzance,South West,Great Western Railway,PNZ,685470,49088,593000,43382,4548,730
Irvine,Scotland,ScotRail,IRV,685016,226212,392254,66550,0,731
Wrexham General,Wales,TfW Rail,WRX,684566,301294,360506,22766,12693,732
Hamilton West,Scotland,ScotRail,HNW,683164,241024,353092,89048,0,733
Tiverton Parkway,South West,Great Western Railway,TVP,682906,80678,539302,62926,0,734
Sandy,East of England,Govia Thameslink Railway (Great Northern),SDY,679484,232544,377888,69052,0,735
Port Sunlight,North West,Merseyrail,PSL,678432,234216,348210,96006,0,736
Wellington (Shropshire),West Midlands,West Midlands Trains (West Midlands Railway),WLN,676396,314092,232670,129634,0,737
Stamford Hill,London,London Overground,SMH,676276,215340,363182,97754,0,738
Brent Cross West,London,Govia Thameslink Railway (Thameslink),BCZ,675392,228538,345386,101468,0,739
Oxenholme Lake District,North West,Avanti West Coast,OXN,675144,0,662020,13124,701346,740
Westerton,Scotland,ScotRail,WES,674870,216756,378434,79680,26787,741
West Worthing,South East,Govia Thameslink Railway (Southern),WWO,672120,143712,402452,125956,0,742
Helensburgh Central,Scotland,ScotRail,HLC,671306,212744,389466,69096,0,743
Rochford,East of England,Greater Anglia,RFD,671248,267518,237122,166608,0,744
Birkenhead Park,North West,Merseyrail,BKP,669528,296198,295434,77896,0,745
St Helens Central,North West,Northern Trains,SNH,669452,229460,302490,137502,0,746
Thorpe Bay,East of England,c2c,TPB,667938,250958,298616,118364,0,747
Cuffley,East of England,Govia Thameslink Railway (Great Northern),CUF,662862,273924,339194,49744,0,748
Thornaby,North East,TransPennine Express,TBY,659792,82740,511244,65808,60295,749
Chester Road,West Midlands,West Midlands Trains (West Midlands Railway),CRD,658658,215304,275676,167678,0,750
Menston,Yorkshire and The Humber,Northern Trains,MNN,658260,233852,199984,224424,0,751
Stroud (Gloucs),South West,Great Western Railway,STD,655356,182490,379330,93536,0,752
Oxford Parkway,South East,Chiltern Railways,OXP,654542,130808,484300,39434,0,753
Long Eaton,East Midlands,East Midlands Railway,LGE,651792,343030,247430,61332,11535,754
Shettleston,Scotland,ScotRail,SLS,651582,221226,333370,96986,0,755
Cheadle Hulme,North West,Northern Trains,CHU,650726,219900,308758,122068,6324,756
Virginia Water,South East,South Western Railway,VIR,649794,189672,382618,77504,94411,757
Birkenhead Central,North West,Merseyrail,BKC,644332,241440,311760,91132,0,758
Bellshill,Scotland,ScotRail,BLH,643576,239638,312488,91450,85124,759
South Kenton,London,London Underground,SOK,643152,175818,385618,81716,0,760
Northfield,West Midlands,West Midlands Trains (West Midlands Railway),NFD,643106,207450,252044,183612,0,761
Hillside,North West,Merseyrail,HIL,641590,113484,445222,82884,0,762
Chertsey,South East,South Western Railway,CHY,638340,187482,188316,262542,0,763
Penge West,London,London Overground,PNW,634966,193362,380016,61588,0,764
South Bermondsey,London,Govia Thameslink Railway (Southern),SBM,632694,177584,310036,145074,0,765
MetroCentre,North East,Northern Trains,MCE,632322,83568,485700,63054,0,766
Tame Bridge Parkway,West Midlands,West Midlands Trains (West Midlands Railway),TAB,632172,214162,284016,133994,42805,767
Braintree,East of England,Greater Anglia,BTR,630814,175770,249782,205262,0,768
Conway Park,North West,Merseyrail,CNP,630102,183210,322478,124414,0,769
Poulton-Le-Fylde,North West,Northern Trains,PFY,630046,80006,513482,36558,0,770
Heaton Chapel,North West,Northern Trains,HTC,623242,261092,226110,136040,0,771
Bellingham,London,Govia Thameslink Railway (Thameslink),BGM,623114,231952,242956,148206,0,772
Caerphilly,Wales,TfW Rail,CPH,623058,482020,37980,103058,0,773
Morpeth,North East,Northern Trains,MPT,622614,105494,491984,25136,1620,774
Warwick,West Midlands,Chiltern Railways,WRW,619458,198692,305592,115174,0,775
Newark Castle,East Midlands,East Midlands Railway,NCT,618574,129358,433274,55942,33213,776
Maghull North,North West,Merseyrail,MNS,613510,165576,358964,88970,0,777
Aston,West Midlands,West Midlands Trains (West Midlands Railway),AST,613448,212760,270020,130668,28082,778
Port Talbot Parkway,Wales,TfW Rail,PTA,612070,324264,246340,41466,0,779
Rhyl,Wales,TfW Rail,RHL,611984,231710,328098,52176,0,780
Falkirk Grahamston,Scotland,ScotRail,FKG,611856,244164,315486,52206,119884,781
Wakefield Kirkgate,Yorkshire and The Humber,Northern Trains,WKK,611788,149636,395456,66696,209305,782
Wandsworth Road,London,London Overground,WWR,610410,219050,287964,103396,0,783
Newton (Lanark),Scotland,ScotRail,NTN,609912,204156,312894,92862,55407,784
Barnstaple,South West,Great Western Railway,BNP,608780,100704,337950,170126,0,785
Liphook,South East,South Western Railway,LIP,608654,118278,207890,282486,0,786
Burley-In-Wharfedale,Yorkshire and The Humber,Northern Trains,BUW,606872,172178,153186,281508,0,787
Beeston,East Midlands,East Midlands Railway,BEE,606570,296066,255130,55374,35371,788
Knaresborough,Yorkshire and The Humber,Northern Trains,KNA,605486,124670,412386,68430,0,789
Waddon,London,Govia Thameslink Railway (Southern),WDO,604552,231624,265768,107160,0,790
Retford,East Midlands,London North Eastern Railway,RET,602590,67908,499236,35446,104595,791
Barry,Wales,TfW Rail,BRY,600062,436662,44010,119390,4288,792
Kelvedon,East of England,Greater Anglia,KEL,599812,183394,191558,224860,0,793
Aigburth,North West,Merseyrail,AIG,597462,146788,352898,97776,0,794
Sunningdale,South East,South Western Railway,SNG,597214,203540,335278,58396,0,795
Steeton and Silsden,Yorkshire and The Humber,Northern Trains,SON,594902,181486,272270,141146,0,796
Chelsfield,London,Southeastern,CLD,593350,313560,167308,112482,0,797
Alton,South East,South Western Railway,AON,590922,185460,295582,109880,0,798
Barrow-In-Furness,North West,Northern Trains,BIF,589658,100668,441312,47678,24412,799
Freshfield,North West,Merseyrail,FRE,589314,117092,401940,70282,0,800
Marston Green,West Midlands,West Midlands Trains (West Midlands Railway),MGN,589260,166464,257604,165192,0,801
Caterham,South East,Govia Thameslink Railway (Southern),CAT,584834,219542,258764,106528,0,802
Leuchars (For St. Andrews),Scotland,ScotRail,LEU,584032,133106,443790,7136,0,803
Burnley Manchester Road,North West,Northern Trains,BYM,583322,187866,345942,49514,14982,804
East Kilbride,Scotland,ScotRail,EKL,582794,202358,318604,61832,0,805
Dawlish,South West,Great Western Railway,DWL,580660,105640,391742,83278,0,806
Headcorn,South East,Southeastern,HCN,578394,119692,303966,154736,0,807
Worcester Shrub Hill,West Midlands,West Midlands Trains (West Midlands Railway),WOS,577194,181436,246368,149390,122921,808
Tolworth,London,South Western Railway,TOL,575870,235354,249394,91122,0,809
Purfleet,East of England,c2c,PFL,572914,220882,260948,91084,0,810
Dunfermline City,Scotland,ScotRail,DFE,569702,211080,324740,33882,0,811
Baldock,East of England,Govia Thameslink Railway (Great Northern),BDK,568602,207890,264966,95746,0,812
Farncombe,South East,South Western Railway,FNC,568436,211884,232902,123650,0,813
North Berwick,Scotland,ScotRail,NBW,566242,223882,317090,25270,0,814
Keynsham,South West,Great Western Railway,KYN,566218,222534,300300,43384,0,815
Swanwick,South East,South Western Railway,SNW,562910,193470,290106,79334,0,816
Maidstone West,South East,Southeastern,MDW,561432,151514,255578,154340,71567,817
Corby,East Midlands,East Midlands Railway,COR,561182,100396,410940,49846,471,818
Garforth,Yorkshire and The Humber,Northern Trains,GRF,561056,195832,289330,75894,0,819
Edinburgh Park,Scotland,ScotRail,EDP,558812,300186,222866,35760,0,820
Eden Park,London,Southeastern,EDN,558530,231254,280294,46982,0,821
Ellesmere Port,North West,Merseyrail,ELP,556188,154208,332136,69844,154,822
New Milton,South East,South Western Railway,NWM,555078,129566,371342,54170,0,823
Barrhead,Scotland,ScotRail,BRR,553018,180980,276864,95174,0,824
Moreton (Merseyside),North West,Merseyrail,MRT,552768,190244,277208,85316,0,825
Brough,Yorkshire and The Humber,TransPennine Express,BUH,551506,57598,459074,34834,10742,826
Stansted Mountfitchet,East of England,Greater Anglia,SST,551240,240696,217102,93442,11591,827
Horwich Parkway,North West,Transport for Greater Manchester,HWI,549902,148488,302880,98534,0,828
Goring-By-Sea,South East,Govia Thameslink Railway (Southern),GBS,549464,139740,241286,168438,0,829
Bridlington,Yorkshire and The Humber,Northern Trains,BDT,546078,42826,479238,24014,1203,830
Cathcart,Scotland,ScotRail,CCT,544872,181784,284528,78560,1600,831
Westbury,South West,Great Western Railway,WSB,543050,151826,350030,41194,264345,832
Tile Hill,West Midlands,West Midlands Trains (West Midlands Railway),THL,541526,144914,257032,139580,0,833
Shoeburyness,East of England,c2c,SRY,540912,145988,267390,127534,0,834
Bradford-On-Avon,South West,Great Western Railway,BOA,532216,220796,278944,32476,5217,835
Bromborough,North West,Merseyrail,BOM,530726,227568,239676,63482,0,836
Cressington,North West,Merseyrail,CSG,530514,98132,327292,105090,0,837
Deal,South East,Southeastern,DEA,529856,88114,347024,94718,0,838
Taplow,South East,Elizabeth line,TAP,528968,170990,283750,74228,0,839
Alloa,Scotland,ScotRail,ALO,528768,175966,305718,47084,0,840
Yatton,South West,Great Western Railway,YAT,527348,149116,283356,94876,0,841
St Austell,South West,Great Western Railway,SAU,525828,67842,392396,65590,0,842
Bowes Park,London,Govia Thameslink Railway (Great Northern),BOP,524702,205682,245276,73744,0,843
Leasowe,North West,Merseyrail,LSW,520920,195822,244800,80298,0,844
Wylde Green,West Midlands,West Midlands Trains (West Midlands Railway),WYL,520686,153188,223024,144474,0,845
Coseley,West Midlands,West Midlands Trains (West Midlands Railway),CSY,519672,131234,231914,156524,0,846
Droitwich Spa,West Midlands,West Midlands Trains (West Midlands Railway),DTW,519318,259108,134728,125482,64673,847
Hazel Grove,North West,Northern Trains,HAZ,518622,140708,305044,72870,568,848
Apsley,East of England,West Midlands Trains (London Northwestern Railway),APS,518088,189876,259740,68472,0,849
Claygate,South East,South Western Railway,CLG,516838,185468,201928,129442,0,850
Headstone Lane,London,London Overground,HDL,516542,142650,329514,44378,0,851
Worksop,East Midlands,Northern Trains,WRK,515488,127494,353088,34906,33938,852
Hurst Green,South East,Govia Thameslink Railway (Southern),HUR,515280,134212,174204,206864,47862,853
Princes Risborough,South East,Chiltern Railways,PRR,513436,223504,183554,106378,113434,854
Battle,South East,Southeastern,BAT,511760,103802,285840,122118,0,855
Cobham and Stoke D'abernon,South East,South Western Railway,CSD,508614,185750,240830,82034,0,856
Torquay,South West,Great Western Railway,TQY,508086,53460,388152,66474,1174,857
Penarth,Wales,TfW Rail,PEN,507526,368774,46238,92514,0,858
Kings Langley,East of England,West Midlands Trains (London Northwestern Railway),KGL,507206,179258,257666,70282,0,859
Durrington-On-Sea,South East,Govia Thameslink Railway (Southern),DUR,506616,142510,265882,98224,0,860
Dorking (Deepdene),South East,Great Western Railway,DPD,506136,137992,291296,76848,67097,861
Accrington,North West,Northern Trains,ACR,503794,128150,306466,69178,0,862
Wallasey Grove Road,North West,Merseyrail,WLG,498762,175954,251490,71318,0,863
Troon,Scotland,ScotRail,TRN,498042,197022,272674,28346,7100,864
Bache,North West,Merseyrail,BAC,495366,143806,327064,24496,0,865
Meridian Water,London,Greater Anglia,MRW,494354,123388,326628,44338,0,866
Hagley,West Midlands,West Midlands Trains (West Midlands Railway),HAG,494246,66398,63166,364682,0,867
Chorleywood,East of England,London Underground,CLW,493600,201202,281424,10974,0,868
Warwick Parkway,West Midlands,Chiltern Railways,WRP,493384,122702,343130,27552,0,869
Grange Park,London,Govia Thameslink Railway (Great Northern),GPK,493126,203098,253898,36130,0,870
Ewell East,South East,Govia Thameslink Railway (Southern),EWE,490410,220476,211078,58856,0,871
Dalmeny,Scotland,ScotRail,DAM,488872,203576,223114,62182,0,872
Chessington North,London,South Western Railway,CSN,488812,191664,229222,67926,0,873
