station_name,region,operator,tlc,entries_exits_total,entries_exits_full,entries_exits_reduced,entries_exits_season,interchanges,rank
Slough,South East,Great Western Railway,SLO,5503680,1626712,3188898,688070,1278291,94
Preston (Lancs),North West,Avanti West Coast,PRE,5356076,435822,4616552,303702,1228102,95
Hackney Central,London,London Overground,HKC,5316954,1432206,3274156,610592,1782085,96
Dalston Kingsland,London,London Overground,DLK,5308786,1278876,3317116,712794,0,97
Peterborough,East of England,London North Eastern Railway,PBO,5299726,697858,4198640,403228,960218,98
Chester,North West,TfW Rail,CTR,5271572,1420480,3624374,226718,834570,99
Wolverhampton,West Midlands,West Midlands Trains (West Midlands Railway),WVH,5249278,1262846,3200718,785714,298366,100
Upminster,London,c2c,UPM,5020900,1878150,2657288,485462,811429,101
Birmingham International,West Midlands,Avanti West Coast,BHI,5002974,1642174,2908416,452384,276067,102
Orpington,London,Southeastern,ORP,4989622,1631636,2553826,804160,725083,103
Twickenham,London,South Western Railway,TWI,4972204,1612876,2806014,553314,279755,104
Surrey Quays,London,London Overground,SQE,4933592,1373466,2781608,778518,1272957,105
Queens Park (London),London,London Underground,QPW,4882030,1405806,3018620,457604,0,106
Chadwell Heath,London,Elizabeth line,CTH,4874090,1554894,2767958,551238,0,107
Maidenhead,South East,Great Western Railway,MAI,4850106,1559420,2569532,721154,644539,108
Dartford,South East,Southeastern,DFD,4815874,1679312,2586882,549680,416020,109
Basingstoke,South East,South Western Railway,BSK,4793820,1239952,2799824,754044,829653,110
Goodmayes,London,Elizabeth line,GMY,4772640,1412232,2538030,822378,0,111
Luton Airport Parkway,East of England,Govia Thameslink Railway (Thameslink),LTN,4740742,1615364,2959764,165614,7632,112
Heathrow Terminal 5 (Rail Station Only),London,Heathrow Express,HWV,4704568,1720384,2828096,156088,0,113
Homerton,London,London Overground,HMN,4685786,1489526,2636202,560058,0,114
Stevenage,East of England,Govia Thameslink Railway (Great Northern),SVG,4676446,1666568,2510348,499530,1192784,115
Sutton (London),London,Govia Thameslink Railway (Southern),SUO,4639520,1586408,2173294,879818,470441,116
Norwood Junction,London,London Overground,NWD,4627090,1449320,2461984,715786,909783,117
Winchester,South East,South Western Railway,WIN,4593936,908356,2705244,980336,97244,118
Norwich,East of England,Greater Anglia,NRW,4556674,657366,3681816,217492,553617,119
New Cross Gate,London,London Overground,NXG,4550170,1136494,2699746,713930,129133,120
Doncaster,Yorkshire and The Humber,London North Eastern Railway,DON,4533514,627334,3560040,346140,1673640,121
West Brompton,London,London Underground,WBP,4515126,1378122,2396566,740438,0,122
Wembley Central,London,London Underground,WMB,4445524,965338,2875772,604414,82629,123
Manor Park,London,Elizabeth line,MNP,4426692,1173712,2480138,772842,0,124
West Croydon,London,London Overground,WCY,4370176,1319014,2290474,760688,308065,125
Kingston,London,South Western Railway,KNG,4360664,1425806,2480132,454726,0,126
Camden Road,London,London Overground,CMD,4330314,1289098,2441980,599236,5740,127
Stockport,North West,Avanti West Coast,SPT,4295970,948804,3007590,339576,461907,128
